source_text,target_text
"Search or type a command ({0})","ابحث أو اكتب أمرًا ({0})"
"No new notifications","لا توجد إشعارات جديدة"
"Filter By","تصفية حسب"
"Save Filter","حفظ عامل التصفية"
"Filter Name","اسم عامل التصفية"
"Edit Filters","تعديل عوامل التصفية"
"Assigned To","مسند إلى"
"Created By","أنشأه"
"Tags","العلامات"
"Show Tags","إظهار العلامات"
"Search","بحث"
"Notification","الإشعارات"
"Notifications","الإشعارات"
"List View","عرض القائمة"
"Add {0}","إضافة {0}"
"Clear all filters","مسح جميع عوامل التصفية"
"ascending","ترتيب تصاعدي"
"descending","ترتيب تنازلي"
"Inspection Title / عنوان التفتيش","عنوان التفتيش"
"Getting Started","البدء"
"Begin typing for results.","ابدأ الكتابة لعرض النتائج."
"Filters","عوامل التصفية"
"Created On","تاريخ الإنشاء"
"Last Updated On","آخر تحديث"
"You haven't created a {0} yet","لم تُنشئ {0} بعد"
"Create your first {0}","أنشئ أول {0}"
"Select Filters","اختر عوامل التصفية"
"Apply Filters","تطبيق عوامل التصفية"
"Clear Filters","مسح عوامل التصفية"
"Saved Filters","عوامل التصفية المحفوظة"
"Professional Entry","الدخول الاحترافي"
"Entry form is not available for this feature","نموذج الإدخال غير متاح لهذه الخدمة"
"This feature is a report, page, or external route. Use its professional feature page or ERPNext view instead.","هذه الخدمة عبارة عن تقرير أو صفحة أو رابط خارجي. استخدم صفحة الخدمة الاحترافية أو سجل ERPNext."
"Back to Hub","العودة إلى المركز"
"Open ERPNext View","فتح السجل في ERPNext"
"Attendance Action Hub","مركز إجراءات الحضور"
"Employee Org Tree","الهيكل التنظيمي للموظفين"
"Only Exceptions","الاستثناءات فقط"
"Options","الخيارات"
"Saudi Employment Contract","عقد العمل السعودي"
"End of Service Benefit","مكافأة نهاية الخدمة"
"Saudi Sick Leave","الإجازة المرضية السعودية"
"Overtime Request","طلب عمل إضافي"
"GOSI Contribution","اشتراك التأمينات الاجتماعية"
"Nitaqat Record","سجل نطاقات"
"Work Permit Iqama","تصريح العمل والإقامة"
"Maternity Paternity Leave","إجازة الأمومة والأبوة"
"Termination Notice","إشعار إنهاء الخدمة"
